group,name,year,color,MtCO2eq
US GHG Inventory Sources and Sink by Process,Industrial Process,2011,#c05020,342907855.13635945
US GHG Inventory Sources and Sink by Process,Industrial Process,2012,#c05020,334353826.5914822
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1990,#30c020,4404019.038804011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1991,#30c020,4281685.176615011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1992,#30c020,4037017.45223701
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1993,#30c020,4587519.832087512
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1994,#30c020,4587519.832087512
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1995,#30c020,4587519.832087512
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1996,#30c020,4587519.832087512
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1997,#30c020,4879502.995186581
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1998,#30c020,4879502.995186581
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,1999,#30c020,4879502.995186581
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2000,#30c020,4879502.995186581
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2001,#30c020,4879502.995186581
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2002,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2003,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2004,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2005,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2006,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2007,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2008,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2009,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2010,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2011,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Solvent and Other Product Use,2012,#30c020,4387145.402640011
US GHG Inventory Sources and Sink by Process,Agriculture,1990,#F5B800,473921158.0771768
US GHG Inventory Sources and Sink by Process,Agriculture,1991,#F5B800,504939361.8671857
US GHG Inventory Sources and Sink by Process,Agriculture,1992,#F5B800,495603916.5380115
US GHG Inventory Sources and Sink by Process,Agriculture,1993,#F5B800,525192567.43907475
US GHG Inventory Sources and Sink by Process,Agriculture,1994,#F5B800,500107694.3933912
US GHG Inventory Sources and Sink by Process,Agriculture,1995,#F5B800,524134200.02046776
US GHG Inventory Sources and Sink by Process,Agriculture,1996,#F5B800,540079686.4525266
US GHG Inventory Sources and Sink by Process,Agriculture,1997,#F5B800,531067956.10084945
US GHG Inventory Sources and Sink by Process,Agriculture,1998,#F5B800,500103825.9371463
US GHG Inventory Sources and Sink by Process,Agriculture,1999,#F5B800,503735007.018845
US GHG Inventory Sources and Sink by Process,Agriculture,2000,#F5B800,474815799.89268
US GHG Inventory Sources and Sink by Process,Agriculture,2001,#F5B800,498971477.58863354
US GHG Inventory Sources and Sink by Process,Agriculture,2002,#F5B800,489559552.34979814
US GHG Inventory Sources and Sink by Process,Agriculture,2003,#F5B800,491429319.8189782
US GHG Inventory Sources and Sink by Process,Agriculture,2004,#F5B800,513336321.1506187
US GHG Inventory Sources and Sink by Process,Agriculture,2005,#F5B800,512213874.40878093
US GHG Inventory Sources and Sink by Process,Agriculture,2006,#F5B800,511136624.0282636
US GHG Inventory Sources and Sink by Process,Agriculture,2007,#F5B800,548158934.3001472
US GHG Inventory Sources and Sink by Process,Agriculture,2008,#F5B800,543447045.4059616
US GHG Inventory Sources and Sink by Process,Agriculture,2009,#F5B800,538928108.1907406
US GHG Inventory Sources and Sink by Process,Agriculture,2010,#F5B800,534150187.5104251
US GHG Inventory Sources and Sink by Process,Agriculture,2011,#F5B800,528255906.83324695
US GHG Inventory Sources and Sink by Process,Agriculture,2012,#F5B800,526251509.33393335
US GHG Inventory Sources and Sink by Process,LULUCF,1990,#B800F5,-817399650.5064023
US GHG Inventory Sources and Sink by Process,LULUCF,1991,#B800F5,-805714622.5946149
US GHG Inventory Sources and Sink by Process,LULUCF,1992,#B800F5,-796582042.3499361
US GHG Inventory Sources and Sink by Process,LULUCF,1993,#B800F5,-768260118.9421903
US GHG Inventory Sources and Sink by Process,LULUCF,1994,#B800F5,-818798542.2073716
US GHG Inventory Sources and Sink by Process,LULUCF,1995,#B800F5,-788502092.1485975
US GHG Inventory Sources and Sink by Process,LULUCF,1996,#B800F5,-800921903.7795768
US GHG Inventory Sources and Sink by Process,LULUCF,1997,#B800F5,-765937512.0366721
US GHG Inventory Sources and Sink by Process,LULUCF,1998,#B800F5,-708888970.3941082
US GHG Inventory Sources and Sink by Process,LULUCF,1999,#B800F5,-629887995.3379397
US GHG Inventory Sources and Sink by Process,LULUCF,2000,#B800F5,-660770078.3139658
US GHG Inventory Sources and Sink by Process,LULUCF,2001,#B800F5,-734069188.3573745
US GHG Inventory Sources and Sink by Process,LULUCF,2002,#B800F5,-855221123.3166955
US GHG Inventory Sources and Sink by Process,LULUCF,2003,#B800F5,-959770090.6310642
US GHG Inventory Sources and Sink by Process,LULUCF,2004,#B800F5,-999834706.9672663
US GHG Inventory Sources and Sink by Process,LULUCF,2005,#B800F5,-1005229205.0269045
US GHG Inventory Sources and Sink by Process,LULUCF,2006,#B800F5,-1002759530.205301
US GHG Inventory Sources and Sink by Process,LULUCF,2007,#B800F5,-970458363.1735264
US GHG Inventory Sources and Sink by Process,LULUCF,2008,#B800F5,-953675767.9537474
US GHG Inventory Sources and Sink by Process,LULUCF,2009,#B800F5,-941072583.2279357
US GHG Inventory Sources and Sink by Process,LULUCF,2010,#B800F5,-947994025.7088386
US GHG Inventory Sources and Sink by Process,LULUCF,2011,#B800F5,-944305672.722698
US GHG Inventory Sources and Sink by Process,LULUCF,2012,#B800F5,-941543168.821101
US GHG Inventory Sources and Sink by Process,Waste,1990,#B800F5,165044982.94207555
US GHG Inventory Sources and Sink by Process,Waste,1991,#B800F5,166398500.12994587
US GHG Inventory Sources and Sink by Process,Waste,1992,#B800F5,167452284.14459398
US GHG Inventory Sources and Sink by Process,Waste,1993,#B800F5,166729992.06965238
US GHG Inventory Sources and Sink by Process,Waste,1994,#B800F5,165647342.94630164
US GHG Inventory Sources and Sink by Process,Waste,1995,#B800F5,158620324.25296903
US GHG Inventory Sources and Sink by Process,Waste,1996,#B800F5,155376067.9726008
US GHG Inventory Sources and Sink by Process,Waste,1997,#B800F5,146806078.18711013
US GHG Inventory Sources and Sink by Process,Waste,1998,#B800F5,139746050.5734818
US GHG Inventory Sources and Sink by Process,Waste,1999,#B800F5,135494364.9763939
US GHG Inventory Sources and Sink by Process,Waste,2000,#B800F5,132811485.27720784
US GHG Inventory Sources and Sink by Process,Waste,2001,#B800F5,128272252.8427888
US GHG Inventory Sources and Sink by Process,Waste,2002,#B800F5,129337857.74454057
US GHG Inventory Sources and Sink by Process,Waste,2003,#B800F5,134919226.07539478
US GHG Inventory Sources and Sink by Process,Waste,2004,#B800F5,130999609.61189154
US GHG Inventory Sources and Sink by Process,Waste,2005,#B800F5,133221018.1293296
US GHG Inventory Sources and Sink by Process,Waste,2006,#B800F5,132495889.59287061
US GHG Inventory Sources and Sink by Process,Waste,2007,#B800F5,133062756.42107573
US GHG Inventory Sources and Sink by Process,Waste,2008,#B800F5,135960714.23321727
US GHG Inventory Sources and Sink by Process,Waste,2009,#B800F5,136541975.7772075
US GHG Inventory Sources and Sink by Process,Waste,2010,#B800F5,131060015.0119537
US GHG Inventory Sources and Sink by Process,Waste,2011,#B800F5,128500218.84993495
US GHG Inventory Sources and Sink by Process,Waste,2012,#B800F5,123972065.8226497
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1990,#B800F5,5402124371.152692
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1991,#B800F5,5389359921.475652
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1992,#B800F5,5499221946.5723505
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1993,#B800F5,5662079282.209991
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1994,#B800F5,5681124831.028975
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1995,#B800F5,5809163117.877641
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1996,#B800F5,6011401415.295425
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1997,#B800F5,6101183667.500645
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1998,#B800F5,6159871648.818539
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,1999,#B800F5,6301069159.259801
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2000,#B800F5,6414839336.190255
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2001,#B800F5,6245127186.25622
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2002,#B800F5,6155974574.598983
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2003,#B800F5,6097768710.161086
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2004,#B800F5,6198544285.772875
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2005,#B800F5,6223063950.830525
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2006,#B800F5,6147984034.019167
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2007,#B800F5,6317291758.223155
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2008,#B800F5,6137077357.84743
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2009,#B800F5,5701247003.98246
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2010,#B800F5,5906734164.648594
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2011,#B800F5,5772687348.946955
US GHG Inventory Sources and Sink by Process,Total Sources minus Sink,2012,#B800F5,5546303884.072864
